id,book_id,excerpt,spell_id,char_id
43,7,"his wand : it hit mundungus on the nose and shot red sparks into his eyebrows, which ignited, aguamenti! screamed hermione, and a jet of water streamed from her wand, engulfing a spluttering and choking",2,2
44,7,"them, licking up the sides of the junk bulwarks, which were crumbling to soot at their touch, aguamenti! Harry bawled, but the jet of water that soared from the tip of his wand evaporated in",2,1
45,1,". they tugged and heaved at the door, but it wouldn’t budge, not even when hermione tried her alohomora charm, now what? said ron, these birds … they can’t be here just for decoration,",3,
46,1,"oh, move over, hermione snarled, she grabbed Harry’s wand, tapped the lock, and whispered, alohomora! the lock clicked and the door swung open — they piled through it, shut it quickly,",3,2
47,3,", and she took out her wand, still gripping the back of Harry’s robes with her left hand, alohomora! the window sprang open, how — how —? said black weakly, staring at the hippogriff",3,2
48,5,", ron said quietly, the healer pointed her wand at the door of the janus thickey ward and muttered alohomora, the door swung open and she led the way inside, keeping a firm grasp on gilderoy’s arm",3,
49,5,"gave me a knife that’ll open any lock, said Harry, so even if she’s bewitched the door so alohomora won’t work, which i bet she has — what do you think about this? hermione demanded of",3,
50,5,"large and heavy collide with the door hermione had charmed shut, stand aside! said a rough voice, alohomora! as the door flew open, Harry, hermione, and neville dived under desks, they could",3,
51,5,"she pointed her wand at the place where a lock would have been on an ordinary door and said, alohomora! nothing happened, sirius’s knife! said Harry, and he pulled it out from inside his robes",3,2
52,6,". but when he put out a hand to push open the gates, he found them chained shut, alohomora! he said confidently, pointing his wand at the pad_lock, but nothing happened, that won’t work",3,1
53,7,". he pushed the door : it was locked, hermione pointed her wand at the handle and said, alohomora, there was a click, and the door swung open, they moved over the threshold together,",3,2
54,6,"; in his haste to answer slughorn he swallowed too fast, turned purple, and began to choke, anapneo, said slughorn calmly, pointing his wand at belby, whose airway seemed to clear at once,",4,10
55,2,"bag, it might be invisible ink! she whispered, she tapped the diary three times and said, aparecium! nothing happened, undaunted, hermione shoved her hand back into her bag and pulled out what appeared",5,2
56,4,". constant vigilance! he roared, and the whole class jumped again, now … those three curses — avadakedavra, imperius, and cruciatus — are known as the unforgivable curses, the use of any one of",6,11
57,4,"ah, said moody, another slight smile twisting his lopsided mouth, yes, the last and worst, avadakedavra … the killing curse, he put his hand into the glass jar, and almost as though it",6,11
58,4,"around the headstone, facing voldemort, voldemort was ready, as Harry shouted, expelliarmus! volde_mort cried, avadakedavra! a jet of green light issued from voldemort’s wand just as a jet of red light blasted from",6,8
59,4,"frantically across the wooden surface, moody raised his wand, and Harry felt a sudden thrill of foreboding, avadakedavra! moody roared, there was a flash of blinding green light and a rushing sound, as though",6,11
60,4,"him for this, he knew he was facing the thing against which moody had always warned … the un-blockable avadakedavra curse — and voldemort was right — his mother was not here to die for him this time,",6,
61,4,"kill the spare, a swishing noise and a second voice, which screeched the words to the night : avadakedavra! a blast of green light blazed through Harry’s eyelids, and he heard something heavy fall to the",6,8
62,4,"the third time, she raised it into the air, yes? said moody, looking at her, avadakedavra, hermione whispered, several people looked uneasily around at her, including ron, ah, said moody",6,
63,4,"were right, weren’t they? he really knows his stuff, moody, doesn’t he? when he did avadakedavra, the way that spider just died, just snuffed it right — but ron fell suddenly silent at",6,
64,5,"he was powerful before? yes, like what kind of weapon? said Harry, something worse than the avadakedavra —? that’s enough, mrs. weasley spoke from the shadows beside the door, Harry had not noticed",6,
65,5,"is? said Harry, could be anything, said fred, but there can’t be anything worse than the avadakedavra curse, can there? said ron, what’s worse than death? maybe it’s something that can kill",6,
66,5,"to you, potter, he said quietly, you have irked me too often, for too long, avadakedavra! Harry had not even opened his mouth to resist, his mind was blank, his wand pointing",6,8
67,6,"far as i am aware, they do not know to this day how the riddles died, for the avadakedavra curse does not usually leave any sign of damage, … the exception sits before me, dumbledore added",6,
68,6,"lines of his face, severus … please … snape raised his wand and pointed it directly at dumbledore, avadakedavra! a jet of green light shot from the end of snape’s wand and hit dumbledore squarely in the",6,23
69,6,"luna’s mouth trembled, — more death eaters arrived — and then snape — and snape did it, the avadakedavra, Harry couldn’t go on, madam pomfrey burst into tears, nobody paid her any atten_tion except ginny",6,
70,7,"aisle, shot a full body-bind curse at crabbe, which narrowly missed, crabbe wheeled around and screamed, avadakedavra! again, ron leapt out of sight to avoid the jet of green light, the wandless malfoy",6,18
71,7,"at crabbe’s head, it only missed because malfoy pulled him out of the way, it’s that mudblood! avadakedavra! Harry saw hermione dive aside, and his fury that crabbe had aimed to kill wiped all else",6,18
72,7,"hair, snape looked back at her, quite impassive, as she turned slowly away from him again, avadakedavra, the flash of green light illuminated every corner of the room, charity fell, with a resounding",6,23
73,7,"heard the high voice shriek as he too yelled his best hope to the heavens, pointing draco’s wand : avadakedavra! expelliarmus! the bang was like a cannon blast, and the golden flames that erupted between them",6,8
74,7,"himself, and if i stunned him and he’d fallen, he’d have died the same as if i’d used avadakedavra! expelliarmus saved me from voldemort two years ago, Harry added defiantly, lupin was reminding him of",6,
75,7,"hold him off, without a wand in his hand! … he laughed before casting the curse, … avadakedavra! the green light filled the cramped hallway, it lit the pram pushed against the wall, it",6,8
76,7,"not like it crying, he had never been able to stomach the small ones whining in the orphanage — avadakedavra! and then he broke : he was nothing, nothing but pain and terror, and he must",6,8
77,4,", who nodded, rather thicker than one usually sees … quite rigid … ten and a quarter inches … avis! the hornbeam wand let off a blast like a gun, and a number of small, twittering",8,2
78,7,". hermione, you’re a genius, a total genius, i can’t believe we got out of that! caveinimicum … didn’t i say it was an erumpent horn, didn’t i tell him? and now his house",9,3
79,7,"hands a tent peg soared, to land with a final thud at the end of a guy rope, caveinimicum, hermione finished with a skyward flourish, that’s as much as i can do, at the very",9,2
80,5,"crashed into a table and rolled over the top of it in his haste to reach the next door, colloportus! there were footsteps running along behind the doors; every now and then another heavy body would launch",10,1
81,5,"in his hand, waited for the others to hurtle over the threshold before slamming the door behind them — colloportus! gasped hermione and the door sealed itself with an odd squelching noise, where — where are the",10,2
