id,book_id,excerpt,spell_id,char_id
82,5,"in with hermione, they were all over the threshold just in time to slam the door against bellatrix, colloportus! shouted Harry, and he heard three bodies slam into the door on the other side, it",10,1
83,7,", Harry spat blood out of his mouth, pointed his wand at the falling sidecar, and yelled, confringo! he knew a dreadful, gut-wrenching pang for hedwig as it exploded; the death eater nearest it",11,1
84,7,"lunged as he took a running leap, dragging hermione with him; as it struck, hermione screamed, confringo! and her spell flew around the room, exploding the wardrobe mirror and ricocheting back at them,",11,2
85,3,", and granger, minis_ter, … no! black had bewitched them, i saw it immediately, a confundus charm, to judge by their behavior, they seemed to think there was a possibility he was innocent",12,
86,4,". because they hoodwinked a very powerful magical object! said moody, it would have needed an exceptionally strong confundus charm to bamboozle that goblet into forgetting that only three schools compete in the tournament, … i’m guessing",12,
87,7,"told me that there are plans to lay a false trail; this must be it, no doubt a confundus charm has been placed upon dawlish, it would not be the first time; he is known to",12,
88,4,"put your name in that goblet shouldn’t be feeling too happy right now! i was going to suggest a conjunctivitis curse, as a dragon’s eyes are its weakest point — that’s what krum did! hermione whispered —",13,
89,4,", master, forgive me! forgive us all! voldemort began to laugh, he raised his wand, crucio! the death eater on the ground writhed and shrieked; Harry was sure the sound must carry to",14,8
90,4,"? yelled cedric’s voice, what the hell d’you think you’re doing? and then Harry heard krum’s voice, crucio! the air was suddenly full of cedric’s yells, horrified, Harry be_gan sprinting up his path,",14,12
91,4,"been my downfall, … voldemort moved slowly forward and turned to face Harry, he raised his wand, crucio! it was pain beyond anything Harry had ever experienced; his very bones were on fire; his",14,8
92,4,"moody’s desk as possible, moody raised his wand again, pointed it at the spider, and mut_tered, crucio! at once, the spider’s legs bent in upon its body; it rolled over and began to",14,11
93,4,"the tip of a wand emerged from around the back of the chair, it was pointing at wormtail, crucio! said the cold voice, wormtail screamed, screamed as though every nerve in his body were on",14,8
94,5,"clutching a wand rise on the end of his own arm … heard the high, cold voice say, crucio! the man on the floor let out a scream of pain, attempted to stand but fell back",14,8
95,5,"give you a lesson — Harry had been edging around the fountain on the other side, she screamed, crucio! and he was forced to duck down again as the cen_taur’s arm, holding its bow, spun",14,5
96,5,"his captor, her wand raised, don’d gib id do dem, Harry! bellatrix raised her wand, crucio! neville screamed, his legs drawn up to his chest so that the death eater holding him was",14,5
97,5,"in Harry such as he had never known before, he flung himself out from behind the fountain and bellowed crucio! bellatrix screamed, the spell had knocked her off her feet, but she did not writhe and",14,1
98,6,"hex after hex at her while she dodged them : amycus was giggling, enjoying the sport : crucio — crucio — you can’t dance forever, pretty — impedimenta! yelled Harry, his jinx hit amycus in the",14,13
99,6,"was throwing hex after hex at her while she dodged them : amycus was giggling, enjoying the sport : crucio — crucio — you can’t dance forever, pretty — impedimenta! yelled Harry, his jinx hit amycus",14,13
